"state","year","gross_inv","ipd","gross_inv_chain","population","inv_ch_x_pop"
"wisconsin","2011",1871.442,263881.6,1966.285,5.704755,344.674749397652
"wyoming","2011",381.476,39370.7,400.809,0.567224,706.615023341749
"alabama","2012",1195.081,186299,1195.081,4.815564,248.170515437029
"alaska","2012",656.07,57670.1,656.07,0.730399,898.235074253935
"arizona","2012",1388.926,268288.8,1388.926,6.556629,211.835380650636
"arkansas","2012",748.719,108745.2,748.719,2.952109,253.621732801871
"california","2012",7410.836,2144497.3,7410.836,37.960782,195.223480907216
"colorado","2012",1142.809,273519.5,1142.809,5.193721,220.03665580034
"connecticut","2012",684.586,243801,684.586,3.594395,190.459312346028
"delaware","2012",456.819,61975.8,456.819,0.915188,499.153179456024
"district of columbia","2012",375.056,112736.5,375.056,0.634725,590.895269604947
"florida","2012",5299.234,769309.1,5299.234,19.32623,274.199054859639
"georgia","2012",1962.846,444132.2,1962.846,9.901496,198.237316866057
"hawaii","2012",288.276,73582.7,288.276,1.394905,206.663536226481
"idaho","2012",458.747,57764.4,458.747,1.595441,287.536173384036
"illinois","2012",4050.886,720702.3,4050.886,12.884119,314.40923512116
"indiana","2012",1657.677,297552.7,1657.677,6.53764,253.558929521968
"iowa","2012",1119.962,157250.8,1119.962,3.076097,364.085397827182
"kansas","2012",882.871,140477.8,882.871,2.885361,305.982856217991
"kentucky","2012",1507.48,176302.3,1507.48,4.386381,343.672836445352
"louisiana","2012",1673.864,233623.1,1673.864,4.600814,363.819098098728
"maine","2012",329.512,52874,329.512,1.327691,248.184253715661
"maryland","2012",1331.439,334821.6,1331.439,5.887072,226.163192840176
"massachusetts","2012",1191.89,444329.8,1191.89,6.663158,178.877643303671
"michigan","2012",1191.313,418857.4,1191.313,9.89693,120.371973935352
"minnesota","2012",2017.406,294296.6,2017.406,5.37655,375.223144953548
"mississippi","2012",821.545,99614.6,821.545,2.983767,275.338188270063
"missouri","2012",1378.474,268761.5,1378.474,6.024081,228.827268424844
"montana","2012",521.122,42005.8,521.122,1.003754,519.173024466154
"nebraska","2012",771.782,102269,771.782,1.853323,416.431458520722
"nevada","2012",836.32,128043,836.32,2.744566,304.718487367402
"new hampshire","2012",290.639,67689.2,290.639,1.323962,219.522161512188
"new jersey","2012",2468.544,519745.8,2468.544,8.845483,279.073963513355
"new mexico","2012",664.358,87601.6,664.358,2.087549,318.24785909217
"new york","2012",5271.388,1322447.9,5271.388,19.574549,269.298056369013
"north carolina","2012",2197.773,439571,2197.773,9.749123,225.432892784305
"north dakota","2012",740.742,51345.1,740.742,0.701116,1056.51846484747
"ohio","2012",2679.717,540819.3,2679.717,11.548369,232.042897139847
"oklahoma","2012",1274.746,173483.7,1274.746,3.8186,333.825485780129
"oregon","2012",730.489,174493.1,730.489,3.899118,187.347241094012
"pennsylvania","2012",4955.026,641317.3,4955.026,12.766827,388.11726672571
"rhode island","2012",186.679,51642,186.679,1.054601,177.01386590758
"south carolina","2012",609.033,175374.8,609.033,4.717112,129.111413932932
"south dakota","2012",526.325,43444.6,526.325,0.833496,631.466737692802
"tennessee","2012",1366.798,283721.8,1366.798,6.451281,211.8645893738
"texas","2012",7308.261,1411378.7,7308.261,26.08962,280.12140460459
"utah","2012",828.219,128721,828.219,2.853467,290.25007122914
"vermont","2012",191.284,28887.4,191.284,0.626063,305.534746503147
"virginia","2012",1659.666,444950,1659.666,8.185229,202.763539053092
"washington","2012",2436.936,400863.3,2436.936,6.892876,353.544151962113
"west virginia","2012",675.446,69399,675.446,1.856764,363.775902591821
"wisconsin","2012",1859.306,274343.9,1859.306,5.719855,325.061736704864
"wyoming","2012",362.076,38431.7,362.076,0.57627,628.309646519861
"alabama","2013",1165.851,191481,1136.053,4.83046,235.185261859119
"alaska","2013",553.951,56622.8,539.793,0.737045,732.374549722202
"arizona","2013",1220.965,275199.1,1189.758,6.634999,179.315475405497
"arkansas","2013",784.931,114251.5,764.869,2.959549,258.441066527366
"california","2013",7601.619,2262771.2,7407.33,38.280824,193.499753296846
"colorado","2013",1096.23,288305.2,1068.212,5.270482,202.678237018929
"connecticut","2013",703.365,246632,685.387,3.594915,190.65457736831
"delaware","2013",465.118,60666.1,453.23,0.923638,490.700902301551
"district of columbia","2013",409.69,114891,399.219,0.650431,613.776096157779
"florida","2013",4844.679,800704.1,4720.854,19.563166,241.313394774649
"georgia","2013",1901.501,460585.1,1852.901,9.973326,185.785664681973
"hawaii","2013",277.169,75788.3,270.085,1.408453,191.760037431139
"idaho","2013",438.266,61017.7,427.065,1.61153,265.005926045435
"illinois","2013",3966.886,739627.9,3865.497,12.898269,299.691144602427
"indiana","2013",1590.765,308681.7,1550.106,6.568367,235.995643970564
"iowa","2013",1112.639,160299.8,1084.201,3.093078,350.524946347942
"kansas","2013",821.693,143220.7,800.691,2.89351,276.719624262574
"kentucky","2013",1576.037,182359.2,1535.755,4.404817,348.653530895835
"louisiana","2013",1387.647,228967.4,1352.18,4.624577,292.389985073229
"maine","2013",350.244,53719,341.292,1.328196,256.959063270782
"maryland","2013",1249.089,341255.3,1217.164,5.923704,205.473467276555
"massachusetts","2013",1165.367,454345.7,1135.582,6.713944,169.137842079112
"michigan","2013",1095.677,432717.6,1067.672,9.913349,107.700435039662
"minnesota","2013",1989.116,306153,1938.276,5.413693,358.032123358306
"mississippi","2013",824.363,101638.1,803.293,2.988797,268.768002644542
"missouri","2013",1262.605,277851.1,1230.335,6.040658,203.675659174878
"montana","2013",508.394,43141,495.4,1.013564,488.770319387824
"nebraska","2013",766.15,107604.3,746.568,1.865414,400.215716189543
"nevada","2013",768.299,130621.4,748.662,2.776972,269.596524559844
"new hampshire","2013",301.947,70181.9,294.229,1.326408,221.823903354021
"new jersey","2013",2566.632,533686.7,2501.032,8.858362,282.33571849965
"new mexico","2013",584.35,88411.2,569.415,2.092792,272.083895580641
"new york","2013",5096.906,1355581.4,4966.634,19.628043,253.037656377663
"north carolina","2013",2279.578,455521.6,2221.315,9.843599,225.660858391326
"north dakota","2013",836.472,53881.7,815.093,0.721999,1128.93923675795
"ohio","2013",2688.972,561045.5,2620.245,11.576576,226.340240844961
"oklahoma","2013",1240.098,182618.4,1208.402,3.853205,313.609579557797
"oregon","2013",679.419,179382.7,662.053,3.922908,168.765874703154
